denial_reason_1,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,loan_term,property_value,occupancy_type,applicant_age,income
10,3,0,7,4,1,1,665000,6.625,360,735000,1,5,125.2476928
10,3,4,5,1,1,1,95000,5,360,135000,1,7,65
10,3,0,7,4,1,32,135000,2.875,180,215000,1,5,125.2476928
10,2,4,5,1,1,31,185000,4.949534551,360,450057.0659,1,3,125.2476928
10,3,4,6,1,1,31,355000,3.125,240,705000,1,3,177
10,3,0,7,4,2,1,475000,3.25,360,485000,1,5,125.2476928
10,3,2,5,1,2,1,635000,6.25,360,655000,1,5,125.2476928
10,3,0,5,2,1,1,385000,4.99,360,405000,1,1,106
10,3,4,5,1,1,31,135000,2.875,180,345000,1,7,63
10,1,0,7,4,1,32,1005000,4.25,240,2085000,3,5,125.2476928
10,3,4,5,1,1,31,75000,5.49,60,305000,1,2,174
10,3,4,5,1,2,1,105000,6.75,360,105000,1,0,43
10,3,0,6,3,2,1,135000,4.875,360,235000,1,2,36
10,3,4,5,2,1,1,15000,5.25,180,255000,1,0,70
10,3,4,2,2,1,1,855000,5.375,360,1615000,3,1,73
4,3,4,5,1,1,2,25000,4.949534551,180,335000,3,0,40
10,3,4,5,2,1,1,15000,4.949534551,120,450057.0659,2,4,52
10,3,2,6,3,1,31,25000,4.949534551,240,450057.0659,1,4,125.2476928
10,3,4,3,2,1,1,1045000,9.625,360,1395000,3,7,125.2476928
10,3,0,6,2,1,1,425000,4.875,360,465000,1,2,103
10,3,4,5,1,1,1,295000,6.125,360,525000,1,2,102
10,3,4,5,1,1,1,645000,4.99,360,975000,1,1,238
10,3,4,2,1,1,1,415000,4.75,360,445000,1,0,104
10,3,4,5,1,1,2,65000,3.98,300,795000,1,3,110
10,3,4,5,2,2,1,395000,4.875,360,395000,1,0,113
10,3,4,3,2,2,1,595000,5.125,360,675000,1,2,316
10,3,4,5,1,2,32,665000,4.949534551,360,450057.0659,1,7,132
10,3,4,5,1,3,1,185000,4.375,360,265000,1,3,35
10,3,0,6,2,2,32,95000,4.949534551,360,450057.0659,1,4,70
10,3,4,5,2,1,1,435000,3.25,360,485000,2,3,287
10,3,4,5,1,1,32,405000,4.949534551,360,450057.0659,1,3,120
10,3,4,5,1,1,1,1025000,4.949534551,360,450057.0659,1,3,311
10,3,4,5,1,1,32,255000,6.49,360,1775000,1,0,515
10,3,2,5,1,1,1,255000,5.49,360,275000,1,1,80
10,3,4,5,2,1,1,15000,5.5,120,95000,1,1,85
10,2,4,5,1,2,1,175000,4,360,185000,1,2,55
10,3,4,5,2,1,1,305000,5.374,360,415000,1,2,95
1,3,4,4,2,1,1,485000,4.949534551,360,505000,1,6,62
