,total_loan_costs,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,total_loan_costs,loan_term,property_value,occupancy_type,applicant_age,income,denial_reason_1
273,6756.2,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,275000,6.75,6756.2,360,285000,1,<25,105,10
274,5158.19,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,165000,6.625,5158.19,360,165000,1,<25,72,10
275,2962.49,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,155000,6.375,2962.49,360,225000,1,25-34,86,10
277,9238.29,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,585000,6.375,9238.29,360,735000,1,35-44,149,10
281,5375.06,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,185000,6.125,5375.06,360,435000,1,35-44,146,10
283,11941.09,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,305000,6.5,11941.09,360,385000,1,<25,61,10
290,14997.83,Single Family (1-4 Units):Site-Built,Joint,5,1,2,1,285000,6.25,14997.83,360,285000,1,25-34,140,10
292,5084.96,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,125000,6.5,5084.96,360,215000,1,65-74,48,10
293,13340.93,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,365000,4.624,13340.93,360,465000,1,45-54,90,10
294,7029.45,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,245000,6.499,7029.45,360,315000,1,35-44,120,10
295,6223.95,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,2,32,205000,7.5,6223.95,360,295000,1,45-54,66,10
297,3566.86,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,185000,6.25,3566.86,360,335000,1,25-34,82,10
299,13074,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,255000,6.25,13074,360,255000,1,35-44,90,10
304,3139.75,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,235000,6.25,3139.75,360,325000,1,45-54,155,10
305,5005.63,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,275000,6.25,5005.63,360,395000,1,35-44,56,10
306,19428.83,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,385000,6,19428.83,360,395000,1,25-34,92,10
307,3745.93,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,235000,6.25,3745.93,360,585000,1,25-34,114,10
317,9537.92,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,165000,6.125,9537.92,360,175000,1,25-34,71,10
318,4374.7,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,175000,6.499,4374.7,360,405000,1,55-64,78,10
321,3090.68,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,415000,7.25,3090.68,360,585000,1,55-64,370,10
323,9007.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,415000,7.375,9007.15,360,1155000,1,35-44,102,10
324,4277.66,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,195000,6.75,4277.66,360,435000,1,55-64,56,10
327,3506.54,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,165000,6.5,3506.54,360,225000,1,25-34,76,10
331,3449.42,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,75000,6.625,3449.42,360,145000,1,35-44,76,10
332,3973.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,135000,6.625,3973.65,360,245000,1,55-64,82,10
340,12134.75,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,1,1,365000,7.875,12134.75,360,455000,2,45-54,308,10
341,17755.24,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,405000,6.5,17755.24,360,415000,1,45-54,94,10
346,17103.22,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,405000,6.5,17103.22,360,525000,1,45-54,125,10
349,19180.43,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,665000,6.5,19180.43,360,735000,1,25-34,199,10
352,5093.24,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,145000,6.25,5093.24,360,455000,1,35-44,234,10
358,3026.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,3,1,32,115000,6.375,3026.25,360,305000,1,45-54,105,10
363,2722.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,285000,6.875,2722.95,360,305000,1,35-44,316,10
373,7913.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,405000,5.75,7913.8,360,455000,1,45-54,74,10
374,4295.75,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,335000,5.999,4295.75,360,635000,1,25-34,95,10
380,16880.41,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,645000,7,16880.41,360,675000,1,25-34,388,10
382,16066.68,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,295000,5.25,16066.68,360,295000,1,55-64,56,10
383,8783.32,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,2,1,365000,6.25,8783.32,360,375000,1,25-34,121,10
386,13848.45,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,415000,6.5,13848.45,360,865000,1,55-64,280,10
393,3761.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,135000,6.125,3761.25,360,245000,1,25-34,63,10
405,15758.84,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,495000,6.625,15758.84,360,525000,1,35-44,176,10
406,3026,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,175000,6.375,3026,360,195000,1,<25,48,10
408,13029.82,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,2,1,455000,6,13029.82,360,465000,1,25-34,106,10
410,5759.95,Single Family (1-4 Units):Site-Built,Joint,2,2,1,1,875000,6.875,5759.95,360,1055000,1,35-44,321,10
411,9634.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,695000,6.125,9634.65,360,775000,1,25-34,798,10
413,8142.93,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,515000,6.5,8142.93,360,695000,2,45-54,143,10
415,10805.93,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,345000,5.5,10805.93,360,355000,1,35-44,67,10
434,3708.68,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,1,195000,6.25,3708.68,360,245000,1,35-44,69,10
439,13656.2,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,2,2,1,495000,6.25,13656.2,360,505000,1,35-44,138,10
445,4983.35,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,335000,5.624,4983.35,360,355000,1,25-34,84,10
446,11684.93,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,355000,3.999,11684.93,360,445000,1,35-44,132,10
